"NOME_MUNICIPIO",">2ppb","=2ppb","1ppb<x<2ppb","=1ppb","0.1ppb<x<1ppb","=0.1ppb","0ppb<x<0.1ppb","=0ppb","all Detections","all Measurements","Population","UF"
"CACU",0,0,0,0,0,0,0,6,6,12,15287,"GO"
"CACULE",0,0,0,1,0,0,0,0,1,1,23817,"BA"
"CAETANOS",0,0,0,2,0,0,0,0,2,2,16106,"BA"
"CAETITE",0,0,0,4,0,0,0,0,4,4,52853,"BA"
"CAFEARA",0,0,0,0,0,0,0,0,0,7,2911,"PR"
"CAFELANDIA",0,0,0,0,0,0,0,0,0,19,17645,"SP"
"CAFEZAL DO SUL",0,0,0,0,0,0,0,0,0,20,4245,"PR"
"CAIABU",0,0,0,0,0,0,0,0,0,14,4211,"SP"
"CAIAPONIA",0,0,0,0,0,0,0,0,0,16,18505,"GO"
"CAIBATE",0,0,0,0,0,0,0,0,0,2,5042,"RS"
"CAIBI",0,0,0,0,1,0,0,1,2,5,6213,"SC"
"CAIEIRAS",0,0,0,0,0,1,1,0,2,12,98223,"SP"
