"Município","Atrazina","Diuron","Glifosato + AMPA","Mancozebe","Profenofós","Metolacloro","Simazina","Alaclor","Aldicarbe + Aldicarbesulfona + Aldicarbesulfóxido","Carbendazim + benomil","Carbofurano","Clordano","Clorpirifós + clorpirifós-oxon","DDT + DDD + DDE","Endossulfan (a, ß e sais)","Lindano (gama HCH)","Metamidofós","Molinato","Parationa Metílica","Pendimentalina","Permetrina","Terbufós","Trifluralina","2,4 D + 2,4,5 T","Aldrin + Dieldrin","Endrin","Tebuconazol","Population","UF","How many different pesticides detected (>0ppb)?"
"CHARQUEADA",8,4,8,4,8,8,8,8,8,4,8,8,8,8,8,8,4,8,8,8,8,8,8,7,8,8,8,16772,"SP",27
"CHOPINZINHO",4,2,2,1,2,4,4,4,1,2,2,4,1,2,4,4,2,2,2,2,2,2,4,2,4,4,2,19911,"PR",27
"CLAUDIA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11716,"MT",27
"CLEVELANDIA",4,2,1,2,2,4,4,4,2,2,2,4,2,4,4,4,2,2,2,2,2,2,4,2,4,4,2,17250,"PR",27
"COLATINA",41,43,71,43,43,71,70,71,44,43,43,71,43,71,71,71,43,43,71,43,43,43,69,71,71,71,43,124525,"ES",27
"COLIDER",6,3,6,3,3,6,6,6,3,3,3,6,3,6,6,6,3,3,3,3,3,3,4,3,6,6,3,32298,"MT",27
"COLOMBIA",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,3,3,6225,"SP",27
"CONCHAL",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,27554,"SP",27
"CONCHAS",2,2,4,2,4,2,2,2,4,2,4,2,4,2,2,2,1,2,2,2,2,4,2,3,4,2,4,17638,"SP",27
"CONFRESA",6,6,2,2,2,2,2,6,7,6,6,6,6,6,6,2,2,2,2,2,2,2,2,6,6,6,2,29471,"MT",27
"COQUEIRAL",6,3,6,3,3,4,5,5,3,3,3,6,3,6,6,6,3,3,3,3,3,3,5,10,6,6,3,9432,"MG",27
"CORDEIROPOLIS",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23793,"SP",27
"COROADOS",8,3,7,2,7,7,7,8,6,3,6,8,7,8,7,7,2,7,7,7,7,7,7,8,8,7,7,5885,"SP",27
"CORONEL MACEDO",5,5,10,6,10,5,5,5,12,6,11,5,10,8,5,8,4,5,5,5,5,10,5,10,10,5,10,4840,"SP",27
"CORONEL MARTINS",2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,1,2,2548,"SC",27
"CORREIA PINTO",4,2,3,2,2,4,4,4,2,2,2,4,2,3,2,2,2,2,3,2,2,2,4,2,3,2,2,13358,"SC",27
